iter	Passed	Remaining
817	9232	2054
818	9243	2042
819	9254	2031
820	9264	2019
821	9275	2008
822	9286	1997
823	9298	1985
824	9308	1974
825	9320	1963
826	9332	1952
827	9343	1941
828	9356	1929
829	9366	1918
830	9377	1907
831	9388	1895
832	9398	1884
833	9409	1872
834	9420	1861
835	9431	1850
836	9442	1838
837	9453	1827
838	9465	1816
839	9476	1805
840	9488	1793
841	9498	1782
842	9509	1770
843	9520	1759
844	9532	1748
845	9542	1737
846	9554	1725
847	9564	1714
848	9575	1703
849	9585	1691
850	9596	1680
851	9608	1669
852	9619	1657
853	9630	1646
854	9642	1635
855	9653	1623
856	9665	1612
857	9676	1601
858	9688	1590
859	9699	1579
860	9709	1567
861	9719	1556
862	9730	1544
863	9741	1533
864	9752	1522
865	9763	1510
866	9774	1499
867	9785	1488
868	9797	1476
869	9808	1465
870	9818	1454
871	9830	1442
872	9840	1431
873	9851	1420
874	9863	1409
875	9877	1398
876	9888	1386
877	9900	1375
878	9911	1364
879	9923	1353
880	9934	1341
881	9945	1330
882	9956	1319
883	9967	1307
884	9977	1296
885	9988	1285
886	10000	1273
887	10011	1262
888	10021	1251
889	10032	1239
890	10043	1228
891	10054	1217
892	10065	1206
893	10076	1194
894	10088	1183
895	10099	1172
896	10110	1161
897	10121	1149
898	10133	1138
899	10145	1127
900	10156	1115
901	10168	1104
902	10178	1093
903	10190	1082
904	10202	1070
905	10212	1059
906	10223	1048
907	10235	1037
908	10246	1025
909	10257	1014
910	10268	1003
911	10278	991
912	10289	980
913	10301	969
914	10310	957
915	10321	946
916	10332	935
917	10343	923
918	10354	912
919	10365	901
920	10377	890
921	10387	878
922	10398	867
923	10409	856
924	10421	844
925	10432	833
926	10442	822
927	10453	811
928	10464	799
929	10475	788
930	10485	777
931	10496	765
932	10507	754
933	10518	743
934	10528	731
935	10540	720
936	10551	709
937	10563	698
938	10573	686
939	10583	675
940	10595	664
941	10605	653
942	10617	641
943	10626	630
944	10638	619
945	10648	607
946	10658	596
947	10668	585
948	10679	573
949	10689	562
950	10701	551
951	10712	540
952	10723	528
953	10734	517
954	10745	506
955	10756	495
956	10767	483
957	10778	472
958	10791	461
959	10802	450
960	10813	438
961	10824	427
962	10836	416
963	10846	405
964	10858	393
965	10868	382
966	10880	371
967	10891	360
968	10902	348
969	10914	337
970	10925	326
971	10936	315
972	10947	303
973	10959	292
974	10970	281
975	10982	270
976	10993	258
977	11004	247
978	11016	236
979	11027	225
980	11038	213
981	11049	202
982	11060	191
983	11071	180
984	11082	168
985	11093	157
986	11104	146
987	11115	135
988	11127	123
989	11138	112
990	11149	101
991	11160	90
992	11171	78
993	11182	67
994	11192	56
995	11203	44
996	11214	33
997	11225	22
998	11237	11
999	11248	0
